voted_for,gender,education,age,white
Trump,Male,2-year,54,Yes
Biden,Female,4-year,74,Yes
Biden,Female,4-year,58,Yes
Trump,Male,Some college,59,Yes
Trump,Female,Some college,73,Yes
Trump,Female,High school graduate,50,Yes
Biden,Female,4-year,57,Yes
Biden,Female,4-year,54,Yes
Biden,Female,4-year,59,Yes
Biden,Male,Some college,61,Yes
Biden,Female,2-year,61,Yes
Trump,Male,Some college,60,Yes
Trump,Male,2-year,59,Yes
Trump,Female,2-year,70,Yes
Biden,Male,4-year,74,No
Biden,Female,Post-grad,57,No
Biden,Male,4-year,36,Yes
Biden,Female,4-year,36,Yes
Trump,Female,Some college,48,No
Biden,Female,Some college,72,Yes
Biden,Female,Post-grad,70,Yes
Biden,Female,Post-grad,86,Yes
Biden,Female,Some college,42,Yes
Trump,Female,High school graduate,56,Yes
Trump,Male,Some college,72,Yes
Biden,Male,4-year,66,Yes
Biden,Female,2-year,57,Yes
Trump,Male,High school graduate,74,Yes
Trump,Female,4-year,70,Yes
Biden,Female,Some college,49,Yes
Trump,Male,2-year,61,Yes
Biden,Female,Post-grad,55,No
Trump,Male,2-year,57,Yes
Biden,Female,Some college,67,Yes
Trump,Female,Post-grad,33,Yes
Trump,Male,Post-grad,72,Yes
Biden,Female,Post-grad,69,Yes
Biden,Female,Post-grad,61,Yes
Biden,Female,Post-grad,67,Yes
Biden,Female,Post-grad,62,Yes
Trump,Female,4-year,66,Yes
Trump,Male,High school graduate,75,Yes
Biden,Female,2-year,64,Yes
Trump,Male,Post-grad,50,Yes
Biden,Female,4-year,53,Yes
Trump,Female,4-year,34,Yes
Biden,Male,Post-grad,69,Yes
Trump,Male,4-year,49,No
Biden,Female,High school graduate,66,Yes
Biden,Female,Some college,62,Yes
Biden,Female,4-year,61,No
Trump,Female,High school graduate,57,Yes
Biden,Female,4-year,77,Yes
Trump,Male,Post-grad,54,No
Biden,Male,Post-grad,26,Yes
Trump,Male,2-year,54,Yes
Biden,Female,Post-grad,24,Yes
Trump,Female,2-year,57,Yes
Trump,Female,Post-grad,65,Yes
Trump,Female,Some college,42,Yes
Biden,Female,Post-grad,70,Yes
Trump,Female,2-year,55,Yes
Trump,Female,4-year,62,Yes
Biden,Male,Post-grad,65,No
Trump,Female,Some college,68,Yes
Biden,Male,2-year,62,Yes
Biden,Female,Some college,73,Yes
Biden,Male,Some college,56,Yes
Trump,Male,Post-grad,67,Yes
Trump,Female,Some college,72,Yes
Trump,Female,2-year,59,Yes
Biden,Female,Post-grad,79,No
Trump,Male,Some college,56,Yes
Biden,Male,4-year,27,No
Biden,Female,4-year,70,No
Biden,Female,Some college,54,Yes
Trump,Female,Post-grad,55,Yes
Trump,Female,4-year,27,Yes
Biden,Female,High school graduate,75,Yes
Trump,Female,High school graduate,63,Yes
